"СРЕДНИЕ  ЦЕНЫ  НА  ТОВАРЫ	 РЕАЛИЗУЕМЫЕ В РОЗНИЧНОЙ СЕТИ (в магазинах и на городских рынках) *"								
"(в рублях за килограмм	 литр	 десяток	 изделие)"								
за октябрь 2019 года**								
								
								
	Республика	В том числе:						
	Беларусь	Брестская	Витебская	Гомельская	Гродненская	г. Минск	Минская	Могилевская
КОСТЮМ ИЗ ТРИКОТАЖНОГО ПОЛОТНА  ЖЕНСКИЙ 	82.09	81.81	82.01	81.61	84.04	82.52	82.85	78.95
ПИДЖАК (ЖАКЕТ) ЖЕНСКИЙ	88.75	73.60	84.05	75.69	64.70	106.57	110.55	75.95
ЮБКА ЖЕНСКАЯ 	52.57	53.92	53.98	48.84	51.55	51.62	55.82	53.45
ДЖИНСЫ ЖЕНСКИЕ	61.21	53.95	51.51	54.72	48.74	78.35	55.39	63.63
БЛУЗКА ЖЕНСКАЯ	51.34	44.08	49.52	45.58	45.75	57.80	53.17	56.03
ПЛАТЬЕ ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ ИЛИ ТРИКОТАЖНОГО ПОЛОТНА ЖЕНСКОЕ	64.79	62.21	53.19	63.80	56.12	75.04	58.21	72.38
ХАЛАТ ДОМАШНИЙ ЖЕНСКИЙ	34.62	32.05	35.30	33.83	33.14	33.20	41.13	34.76
"СВИТЕР	 ДЖЕМПЕР ИЗ СИНТЕТИЧЕСКОЙ ИЛИ СМЕСОВОЙ ПРЯЖИ ЖЕНСКИЙ"	38.33	37.44	40.67	40.70	38.85	37.53	35.61	39.01
КОСТЮМ СПОРТИВНЫЙ ЖЕНСКИЙ	77.72	72.21	71.29	70.99	71.91	85.18	79.31	84.56
БЮСТГАЛЬТЕР 	25.06	24.42	24.22	22.73	22.37	26.11	29.75	23.28
ТРУСЫ ИЗ ХЛОПЧАТОБУМАЖНОГО ТРИКОТАЖНОГО ПОЛОТНА ЖЕНСКИЕ	5.81	5.55	5.72	5.63	6.68	5.74	6.27	5.20
ШАПКА МЕХОВАЯ ЖЕНСКАЯ	209.19	191.98	166.42	211.29	191.06	233.10	213.57	224.68
ПЛАЩ ЖЕНСКИЙ	145.82	130.62	121.26	108.96	117.67	211.65	132.38	106.89
СОРОЧКА НОЧНАЯ ЖЕНСКАЯ	19.32	19.69	18.36	18.98	17.71	19.50	21.52	18.47
